row m/z;MCCe0449.mzML Peak area;MCCe0450.mzML Peak area;MCCe0451.mzML Peak area;MCCe0452.mzML Peak area;MCCe0453.mzML Peak area;MCCe0454.mzML Peak area;MCCe0455.mzML Peak area;MCCe0456.mzML Peak area;MCCe0457.mzML Peak area;MCCe0458.mzML Peak area;MCCe0459.mzML Peak area;MCCe0460.mzML Peak area;MCCe0461.mzML Peak area;MCCe0462.mzML Peak area;MCCe0463.mzML Peak area;MCCe0464.mzML Peak area;MCCe0465.mzML Peak area;MCCe0466.mzML Peak area;MCCe0467.mzML Peak area;MCCe0468.mzML Peak area;MCCe0469.mzML Peak area;MCCe0470.mzML Peak area;MCCe0471.mzML Peak area;MCCe0472.mzML Peak area;MCCe0473.mzML Peak area;MCCe0474.mzML Peak area;MCCe0481.mzML Peak area;MCCe0482.mzML Peak area;MCCe0483.mzML Peak area;MCCe0484.mzML Peak area;MCCe0485.mzML Peak area;MCCe0486.mzML Peak area;MCCe0487.mzML Peak area;MCCe0488.mzML Peak area;MCCe0489.mzML Peak area;MCCe0490.mzML Peak area;MCCe0491.mzML Peak area;MCCe0492.mzML Peak area;MCCe0493.mzML Peak area;MCCe0494.mzML Peak area;MCCe0495.mzML Peak area;MCCe0496.mzML Peak area;MCCe0497.mzML Peak area;MCCe0498.mzML Peak area;MCCe0499.mzML Peak area;MCCe0500.mzML Peak area;MCCe0501.mzML Peak area;MCCe0502.mzML Peak area;MCCe0503.mzML Peak area;MCCe0504.mzML Peak area
160.6170379;194.68918;187.77318;425.40973;297.2791;817.7202;434.762;773.46814;616.26385;692.95197;816.0116;437.84576;132.27321;322.65308;827.2477;682.89044;888.3227;587.29645;732.87634;536.6618;790.5652;737.89166;901.20526;767.0507;881.03394;856.02386;437.65143;48.849766;24.04981;21.033365;25.249268;31.288118;32.234543;16.393051;54.475475;44.423706;0;25.32986;0;26.831434;0;24.39368;0;29.452448;20.702229;0;0;0;0;24.748354;0
165.112308;382.58386;383.28937;508.06088;442.75354;420.33163;373.19052;302.71237;350.47583;362.83755;94.39893;96.16728;62.668995;49.431458;76.01913;98.761734;87.678314;52.235626;78.471596;9.412861;93.87348;104.103;127.06508;117.608826;179.08202;134.06111;121.954956;341.40256;353.65082;386.96725;448.6632;345.30264;350.49393;451.22217;348.10953;377.48892;330.4226;433.3069;395.74594;319.1259;288.12524;258.14355;434.67926;378.81766;470.83203;501.31345;397.84946;365.88702;433.0258;264.4209;515.40546
168.1225428;268.50763;291.3699;332.22607;310.84424;342.06848;294.32516;328.14423;293.9779;294.71164;330.22574;287.27258;289.5157;254.87326;339.52188;330.51086;405.31955;338.15552;325.98477;286.99615;336.10495;326.30548;326.03897;334.67886;375.27448;373.5381;281.58472;125.25835;105.68129;124.14617;123.35936;113.51889;127.18417;73.33816;112.73974;87.34679;137.84578;58.27928;87.890274;128.64647;95.88072;26.77392;150.33934;87.66546;116.56061;98.40662;55.37345;108.43171;80.23592;69.349945;90.4855
170.1176782;49.22506;31.117897;86.056984;46.939594;56.673412;25.111944;29.787588;40.781197;44.1696;156.95738;87.1757;80.25379;64.448074;104.22205;153.46263;132.2519;106.90075;131.19919;96.28916;109.286964;100.25442;131.89822;47.837894;119.139534;127.571335;99.14587;736.1009;833.094;1100.5146;1815.7338;1741.16;831.4107;2139.8945;845.1903;1008.03265;1629.3436;1415.8683;1058.9601;840.1271;605.7555;636.433;1836.8955;1789.7659;2530.9592;1726.194;950.2392;881.6166;1673.6372;544.8779;1496.7297
170.1178186;72.86503;29.32737;87.51155;122.99275;105.150635;64.67117;67.00685;64.06827;92.854;23.96803;0;0;0;0;0;0;0;1.8746619;0;0;35.529438;2.8066587;0;52.272526;5.7944856;14.959425;159.88753;206.74828;229.20836;204.6002;162.57109;190.29482;345.14838;207.55466;247.53925;202.43835;228.65822;270.41806;142.72612;174.30664;158.16609;308.9995;233.80461;274.08096;310.93863;140.31464;196.41751;181.4425;149.70282;258.86273
172.1329934;0;0;0;0;1.7306386;0;0;0;0;958.0036;490.56604;401.43555;465.32227;520.14276;658.45844;643.8114;592.99915;552.13544;451.40683;511.3206;438.00262;597.5635;388.7277;636.5529;567.5901;474.09625;211.35858;492.37997;285.5363;511.05396;442.8614;486.90228;551.0947;550.3945;233.54398;520.4715;312.3902;235.43614;284.58865;257.53287;268.77747;491.29483;301.0488;590.6942;560.86633;565.3885;292.54968;290.4361;265.74683;655.4938
172.1330377;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1278.7172;4.0965853;149.54712;8.084445;7.4281664;22.566366;9.521973;1.7748964;3.9455476;2.3558555;22.049923;7.163334;1.6817539;0;5.985185;2.756995;7.9344497;7.919161;15.106794;4.024473;1.7890749;2.2888565;56.63032;11.720355
172.1331481;250.22945;247.36372;371.60794;294.1016;292.077;228.42743;197.49907;204.67502;242.1859;939.84766;481.2416;391.3042;454.79996;509.94714;184.49971;204.5342;573.566;542.5546;435.1699;491.85657;430.62708;583.46356;382.8661;176.80936;159.62813;469.22272;1512.9546;2285.446;3559.4805;2724.543;2525.765;2502.743;4085.5642;2316.4395;2197.6545;3640.346;4071.1445;2533.62;2198.327;2010.5509;1933.0184;2733.7708;3946.9187;5087.246;3310.2905;2198.5847;1931.5184;4073.2627;1768.6085;4670.242
172.1331913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.763416;50.83132;145.23808;428.23682;94.07349;628.9844;57.608727;87.88344;7.795312;112.403;68.154106;39.247013;15.025494;15.804495;129.07283;77.9516;958.54254;909.9501;100.11513;96.93111;91.76991;71.29004;140.81555
174.1489828;164.25656;151.88773;74.26423;106.46571;111.77927;127.94895;152.81673;90.04445;101.91515;173.1809;33.49972;27.362976;62.71695;41.354465;77.377716;65.42575;16.16471;81.905205;56.616295;21.409782;64.40033;55.44513;45.393654;82.98233;71.01275;74.161064;253.95374;29.422363;129.03679;340.24896;0;0;0;0;0;0;0;0;178.74924;220.44505;586.4471;174.99127;0;0;0;0;0;0;0;0
181.1300107;75.988846;60.942963;183.60588;16.657822;141.13354;156.56824;208.24625;45.670635;192.77304;496.0638;24.912077;485.98706;488.2403;676.3053;516.12305;728.34467;316.42404;686.45483;573.41284;361.50717;420.29904;725.246;620.50867;738.02325;547.08527;280.8328;59.09012;65.56406;90.97592;80.34327;44.658985;39.692104;17.017166;35.08786;21.9281;76.08731;52.369938;0;58.480057;32.69793;99.42346;42.28678;77.957184;43.02206;0;31.04374;25.94294;119.63042;23.72448;45.348747
185.1653094;292.23758;266.9355;42.923985;763.4935;53.487923;47.37097;43.373314;98.11573;35.89103;266.35287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188.1278272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108.54541;112.20177;129.22453;148.76184;140.0588;102.89808;176.71124;152.09903;145.21281;118.12371;150.15106;182.45299;107.05524;63.584282;53.273563;179.86647;166.10547;211.20229;170.19807;75.242775;122.97299;123.306305;89.35567;169.3602
188.1279241;120.70676;111.79036;148.1366;114.92644;138.21944;103.8578;78.83936;99.64567;116.40152;457.53812;220.89284;197.8158;204.6335;236.0906;312.51086;294.9653;275.41458;245.10019;198.8843;208.88618;205.34337;270.66403;183.29039;281.17593;270.57092;194.62206;760.37134;776.2558;1023.93756;1105.9696;807.25336;893.9419;1016.1433;942.02405;1032.3419;920.1324;1056.933;871.0695;876.63165;763.4859;697.70557;1062.6338;1065.2897;1361.7147;1386.2301;838.01196;875.98193;1027.1917;616.1625;1167.5934
192.1592875;147.6211;339.68497;0;611.1979;0;0;0;6.063987;0;283.664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
