331;331;331;379;589;391;1140;851;1965;1215;1077;55;55;55;197;159;198;192;74;46;160;137;76;38;114;489;102;1192;238;125;466;466;466
350;350;350;773;401;3433;539;522;269;427;411;861;861;861;309;409;390;385;1032;517;402;574;963;199;204;1148;309;645;334;552;584;584;584
1124;1124;1124;665;665;1472;467;187;721;88;712;1125;1125;1125;59;25;122;192;104;47;96;121;150;171;230;84;193;99;191;73;306;306;306
1317;1317;1317;1790;629;1074;608;555;954;1285;504;1653;1653;1653;299;101;455;951;156;269;239;568;526;284;845;394;193;358;326;691;234;234;234
514;514;514;730;486;625;361;1225;642;623;1274;255;255;255;318;291;283;166;135;499;284;65;230;260;199;400;899;87;116;361;311;311;311
604;604;604;1050;5198;1144;703;260;681;230;237;333;333;333;2220;414;300;77;221;526;113;433;144;1133;1565;236;84;124;1386;236;433;433;433
341;341;341;298;332;390;202;583;1133;153;431;37;37;37;82;76;91;239;76;131;265;423;119;62;161;905;79;92;162;82;116;116;116
362;362;362;717;578;278;721;367;129;378;272;769;769;769;794;1299;788;747;1076;630;616;616;867;2086;1101;401;1315;1120;1539;1723;346;346;346
945;945;945;3613;92;5326;112;33;37;176;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;179;1078;199;0;45;0;73;58;0;0;0;278;1299;646;535;148;275;546;445;4402;1392;283;343;215;36;1107;455;0;0;0
0;0;0;0;0;0;0;0;0;0;0;24;24;24;64;769;55;83;0;562;718;3854;56;22;21;48;0;0;30;48;0;0;0
31;31;31;342;0;33;39;117;0;143;26;281;281;281;23;0;20;56;24;0;280;22;144;27;25;5390;0;0;44;799;0;0;0
22;22;22;234;936;754;705;838;1199;5981;4606;130;130;130;4956;98;45;75;4080;102;133;5198;478;23;41;35;191;3480;84;22;818;818;818
995;995;995;220;1395;404;49;0;196;5089;2859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;79;1399;0;0;0;137;0;133;110;1494;75;0;71;0;0;0;0;0
0;0;0;0;1178;70;0;0;0;0;0;0;0;0;290;0;0;0;0;0;0;0;0;0;109;0;0;0;108;0;0;0;0
0;0;0;87;0;0;85;0;84;0;0;0;0;0;81;0;0;2035;0;0;0;0;176;124;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;793;0;0;0;0;0;0;0;686;0;0;81;0;0;140;80;0;3812;83;618;0;81;81;81
0;0;0;0;87;0;0;107;99;0;0;0;0;0;1266;0;0;91;0;0;71;0;0;0;0;0;0;0;0;47;0;0;0
49;49;49;0;0;0;0;0;69;0;0;0;0;0;0;186;0;0;0;0;0;0;0;1558;0;58;0;0;0;194;0;0;0
117;117;117;0;0;62;0;0;0;0;59;0;0;0;50;0;0;0;0;0;0;105;0;73;0;1361;0;78;24;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1511;267;28;27;195;140;272;872;0;44;1505;278;25;662;40;117;0;0;0
283;283;283;634;927;468;0;860;533;941;6;1876;1876;1876;1365;1440;1238;1259;5644;2028;1741;1025;4557;1700;1243;1619;905;2376;1334;1386;65;65;65
0;0;0;2756;2647;2234;2719;2907;3212;2350;2789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;3123;3257;3613;2848;1265;3145;2909;3209;5047;3396;3028;2485;3026;3042;3866;3782;0;0;0
652;652;652;655;975;584;1056;382;254;1325;600;947;947;947;381;555;1996;1276;714;1129;936;377;558;374;1176;2602;516;757;1114;733;618;618;618
1262;1262;1262;823;866;1197;782;541;900;904;1308;916;916;916;312;771;486;987;2711;1266;535;1047;928;655;825;940;987;356;961;514;381;381;381
1467;1467;1467;277;745;836;1231;1618;1137;324;1855;871;871;871;460;935;552;979;767;506;1492;670;994;429;697;550;903;1320;225;670;1964;1964;1964
944;944;944;1311;944;1088;1256;534;404;847;234;222;222;222;213;535;2541;712;531;462;497;640;668;162;2671;521;202;155;259;382;123;123;123
1482;1482;1482;1319;2888;709;1372;800;516;1000;645;233;233;233;1223;846;359;309;125;369;227;433;387;516;1564;320;487;500;680;514;644;644;644
403;403;403;1269;871;1286;793;913;1500;503;346;432;432;432;2492;558;534;1283;441;428;216;623;422;1309;413;349;373;971;564;339;528;528;528
1031;1031;1031;1571;1082;1089;914;650;1338;426;700;856;856;856;726;689;846;2866;804;880;607;783;483;641;472;658;363;757;227;299;453;453;453
1991;1991;1991;464;617;3238;1326;5329;1990;1939;2183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
540;540;540;1193;0;2021;112;35;139;0;60;685;685;685;0;975;0;62;0;0;0;0;126;0;0;0;0;0;353;39;0;0;0
0;0;0;0;0;0;0;0;0;0;0;359;359;359;4;1;7;232;24;25;534;71;9;8223;135;146;387;0;23;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1601;1601;1601;3126;5341;2026;3401;1170;951;2082;5743;3795;3944;4413;3294;2803;3986;6166;4140;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;4364;3808;1941;980;1011;1847;2306;2937;30;1572;3576;655;684;1303;4171;2304;0;0;0
1814;1814;1814;2053;2842;2222;2261;1813;1537;1421;1855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;2931;2841;3253;2384;1714;2010;3533;2772;368;1599;1685;2315;1695;3009;2766;302;0;0;0
1641;1641;1641;2404;2996;3263;2738;2273;2098;2647;2578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1962;1962;1962;836;2176;2426;3113;2435;4667;2372;2518;1115;3544;2348;4016;2508;3341;3133;1800;0;0;0
0;0;0;562;977;968;3215;997;2308;68;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;98;98;0;1693;68;0;0;18;820;20;1005;1005;1005;1460;1861;698;818;2163;1782;1716;683;1655;1489;1075;1889;1233;1565;1594;1448;0;0;0
1315;1315;1315;1033;1693;1607;1492;1422;1381;820;1360;1005;1005;1005;0;49;0;0;90;22;1716;6;195;0;1075;1889;1233;1565;1594;1448;0;0;0
