26.850.763;2.913.699;33.222.607;31.084.424;34.206.848;29.432.516;32.814.423;2.939.779;29.471.164;33.022.574;28.727.258;2.895.157;25.487.326;33.952.188;33.051.086;40.531.955;33.815.552;32.598.477;28.699.615;33.610.495;32.630.548;32.603.897;33.467.886;37.527.448;3.735.381;28.158.472;12.525.835;10.568.129;12.414.617;12.335.936;11.351.889;12.718.417;7.333.816;11.273.974;8.734.679;13.784.578;5.827.928;87.890.274;12.864.647;9.588.072;2.677.392;15.033.934;8.766.546;11.656.061;9.840.662;5.537.345;10.843.171;8.023.592;69.349.945;904.855
4.922.506;31.117.897;86.056.984;46.939.594;56.673.412;25.111.944;29.787.588;40.781.197;441.696;15.695.738;871.757;8.025.379;64.448.074;10.422.205;15.346.263;1.322.519;10.690.075;13.119.919;9.628.916;109.286.964;10.025.442;13.189.822;47.837.894;119.139.534;127.571.335;9.914.587;7.361.009;833.094;11.005.146;18.157.338;1741.16;8.314.107;21.398.945;8.451.903;100.803.265;16.293.436;14.158.683;10.589.601;8.401.271;6.057.555;636.433;18.368.955;17.897.659;25.309.592;1.726.194;9.502.392;8.816.166;16.736.372;5.448.779;14.967.297
7.286.503;2.932.737;8.751.155;12.299.275;105.150.635;6.467.117;6.700.685;6.406.827;92.854;2.396.803;0;0;0;0;0;0;0;18.746.619;0;0;35.529.438;28.066.587;0;52.272.526;57.944.856;14.959.425;15.988.753;20.674.828;22.920.836;2.046.002;16.257.109;19.029.482;34.514.838;20.755.466;24.753.925;20.243.835;22.865.822;27.041.806;14.272.612;17.430.664;15.816.609;3.089.995;23.380.461;27.408.096;31.093.863;14.031.464;19.641.751;1.814.425;14.970.282;25.886.273
0;0;0;0;17.306.386;0;0;0;0;9.580.036;49.056.604;40.143.555;46.532.227;52.014.276;65.845.844;6.438.114;59.299.915;55.213.544;45.140.683;5.113.206;43.800.262;5.975.635;3.887.277;6.365.529;5.675.901;47.409.625;21.135.858;49.237.997;2.855.363;51.105.396;4.428.614;48.690.228;5.510.947;5.503.945;23.354.398;5.204.715;3.123.902;23.543.614;28.458.865;25.753.287;26.877.747;49.129.483;3.010.488;5.906.942;56.086.633;5.653.885;29.254.968;2.904.361;26.574.683;6.554.938
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.787.172;40.965.853;14.954.712;8.084.445;74.281.664;22.566.366;9.521.973;17.748.964;39.455.476;23.558.555;22.049.923;7.163.334;16.817.539;0;5.985.185;2.756.995;79.344.497;7.919.161;15.106.794;4.024.473;17.890.749;22.888.565;5.663.032;11.720.355
25.022.945;24.736.372;37.160.794;2.941.016;292.077;22.842.743;19.749.907;20.467.502;2.421.859;93.984.766;4.812.416;3.913.042;45.479.996;50.994.714;18.449.971;2.045.342;573.566;5.425.546;4.351.699;49.185.657;43.062.708;58.346.356;3.828.661;17.680.936;15.962.813;46.922.272;15.129.546;2.285.446;35.594.805;2.724.543;2.525.765;2.502.743;40.855.642;23.164.395;21.976.545;3.640.346;40.711.445;2533.62;2.198.327;20.105.509;19.330.184;27.337.708;39.469.187;5.087.246;33.102.905;21.985.847;19.315.184;40.732.627;17.686.085;4.670.242
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29.763.416;5.083.132;14.523.808;42.823.682;9.407.349;6.289.844;57.608.727;8.788.344;7.795.312;112.403;68.154.106;39.247.013;15.025.494;15.804.495;12.907.283;779.516;95.854.254;9.099.501;10.011.513;9.693.111;9.176.991;7.129.004;14.081.555
16.425.656;15.188.773;7.426.423;10.646.571;11.177.927;12.794.895;15.281.673;9.004.445;10.191.515;1.731.809;3.349.972;27.362.976;6.271.695;41.354.465;77.377.716;6.542.575;1.616.471;81.905.205;56.616.295;21.409.782;6.440.033;5.544.513;45.393.654;8.298.233;7.101.275;74.161.064;25.395.374;29.422.363;12.903.679;34.024.896;0;0;0;0;0;0;0;0;17.874.924;22.044.505;5.864.471;17.499.127;0;0;0;0;0;0;0;0
75.988.846;60.942.963;18.360.588;16.657.822;14.113.354;15.656.824;20.824.625;45.670.635;19.277.304;4.960.638;24.912.077;48.598.706;4.882.403;6.763.053;51.612.305;72.834.467;31.642.404;68.645.483;57.341.284;36.150.717;42.029.904;725.246;62.050.867;73.802.325;54.708.527;2.808.328;5.909.012;6.556.406;9.097.592;8.034.327;44.658.985;39.692.104;17.017.166;3.508.786;219.281;7.608.731;52.369.938;0;58.480.057;3.269.793;9.942.346;4.228.678;77.957.184;4.302.206;0;3.104.374;2.594.294;11.963.042;2.372.448;45.348.747
29.223.758;2.669.355;42.923.985;7.634.935;53.487.923;4.737.097;43.373.314;9.811.573;3.589.103;26.635.287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
